Grid Scores:

0.670 (+/-0.079) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.681 (+/-0.053) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.668 (+/-0.089) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.672 (+/-0.090) for {'max_features': 'log2', 'n_estimators': 50, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
0.666 (+/-0.056) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 0, 'criterion': 'gini'}
0.693 (+/-0.069) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.661 (+/-0.064) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.673 (+/-0.081) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
0.666 (+/-0.056) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.693 (+/-0.069) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.661 (+/-0.064) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.673 (+/-0.081) for {'max_features': 'log2', 'n_estimators': 100, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
0.678 (+/-0.075) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': True, 'random_state': 0, 'criterion': 'gini'}
0.682 (+/-0.078) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.667 (+/-0.090) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.669 (+/-0.056) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
0.678 (+/-0.075) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.682 (+/-0.078) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.667 (+/-0.090) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.669 (+/-0.056) for {'max_features': 'log2', 'n_estimators': 200, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
